,status,price,bed,bath,acre_lot,city,zip_code,house_size,prev_sold_date,Special_property,County,2023 General Hospital Facilities,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 Nursing Home Facilities,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers,Unnamed: 0,"2023 Reported Violent Crime, Murder","2023 Reported Violent Crime, Rape","2023 Reported Violent Crime, Robbery","2023 Reported Violent Crime, Aggravated Assault",2023 Total Violent Crimes Reported,"2023 Reported Violent Crimes, Percent","2023 Reported Violent Crime Rate per 100,000 Population","2023 Reported Property Crime, Burglary","2023 Reported Property Crime, Larceny","2023 Reported Property Crime, Motor Vehicle Theft",2023 Total Property Crimes Reported,"2023 Reported Property Crimes, Percent","2023 Reported Property Crime Rate per 100,000 Population",2021 Total Index Crimes Reported,2023 Total Index Crimes Reported,2022 Average Number of Months Reported,2023 Average Number of Months Reported,2021-2023 Percent Change in Total Crimes Reported,"2023 Total Index Crime Rate per 100,000 Population",2023 Rank of Rate,"2022 Average Number of Establishments, All Industries","2022 Average Monthly Employment, All Industries","2022 Average Weekly Wages, All Industries, Dollars","2022 Average Number of Establishments, Goods Producing Industries","2022 Monthly Average Employment, Goods Producing Industries","2022 Monthly Average Employment, Goods Producing Industries.1","2022 Average Weekly Wages, Goods Producing Industries, Dollars","2022 Average Number of Establishments, Agriculture, Forestry, Fishing and Hunting","2022 Average Monthly Employment, Agriculture, Forestry, Fishing and Hunting","2022 Average Weekly Wages, Agriculture, Forestry, Fishing and Hunting, Dollars","2022 Average Number of Establishments, Construction","2022 Average Monthly Employment, Construction","2022 Average Weekly Wages, Construction, Dollars","2022 Average Number of Establishments, Manufacturing","2022 Average Monthly Employment, Manufacturing","2022 Average Weekly Wages, Manufacturing, Dollars","2022 Average Number of Establishments, Government","2022 Average Monthly Employment, Government","2022 Employment, Government, Percent of Total Industries","2022 Average Weekly Wages, Government, Dollars","2022 Average Number of Establishments, Service Providing Industries","2022 Average Monthly Employment, Service Providing Industries","2022 Employment, Service Providing Industries, Percent of Total Industries","2022 Average Weekly Wages, Service Providing Industries, Dollars","2022 Average Number of Establishments, Wholesale Trade Industries","2022 Average Monthly Employment, Wholesale Trade Industries","2022 Average Weekly Wages, Wholesale Trade Industries, Dollars","2022 Average Number of Establishments, Retail Trade Industries","2022 Average Monthly Employment, Retail Trade Industries","2022 Average Weekly Wages, Retail Trade Industries, Dollars","2022 Average Number of Establishments, Transportation and Warehousing Industries","2022 Average Monthly Employment, Transportation and Warehousing Industries","2022 Average Weekly Wages, Transportation and Warehousing Industries, Dollars","2022 Average Number of Establishments, Finance and Insurance Industries","2022 Average Monthly Employment, Finance and Insurance Industries","2022 Average Weekly Wages, Finance and Insurance Industries, Dollars","2022 Average Number of Establishments, Professional, Scientific, and Technical Services","2022 Average Monthly Employment, Professional, Scientific, and Technical Services","2022 Average Weekly Wages, Professional, Scientific, and Technical Services, Dollars","2022 Average Number of Establishments, Administrative, Support, Waste Management, and Remediation Industries","2022 Average Monthly Employment, Administrative, Support, Waste Management, and Remediation Industries","2022 Average Weekly Wages, Administrative, Support, Waste Management, and Remediation Industries, Dollars","2022 Average Number of Establishments, Health Care and Social Assistance Industries","2022 Average Monthly Employment, Health Care and Social Assistance Industries","2022 Average Weekly Wages, Health Care and Social Assistance Industries, Dollars","2022 Average Number of Establishments, Accommodation and Food Services Industries","2022 Average Monthly Employment, Accommodation and Food Services Industries","2022 Average Weekly Wages, Accommodation and Food Services Industries, Dollars"
0,for_sale,531625.0,5.0,4.0,,Hampton,30228.0,3661.0,,False,Henry,1,93.10%,4.7,2,88.40%,53,74,12.0,204,81,450,747,13.2%,296.2,526,"3,761",619,"4,906",86.7%,"1,945.5","4,335","5,661",8.6,9.4,30.6%,"2,244.9",128,"6,025","72,639",$923,555,"6,198",8.5%,"$1,201",9,*,*,425,"2,167","$1,204",119,"3,874","$1,212",106,"9,593",13.2%,"$1,175","4,327","56,501",77.8%,$849,190,"2,580","$1,268",706,"11,396",$653,306,"8,468",$915,245,"1,138","$1,397",415,"1,841","$1,200",418,"6,926",$656,640,"7,572","$1,258",574,"9,537",$396
1,for_sale,525210.0,5.0,4.0,,Hampton,30228.0,3661.0,10/31/2022,False,Henry,1,93.10%,4.7,2,88.40%,53,74,12.0,204,81,450,747,13.2%,296.2,526,"3,761",619,"4,906",86.7%,"1,945.5","4,335","5,661",8.6,9.4,30.6%,"2,244.9",128,"6,025","72,639",$923,555,"6,198",8.5%,"$1,201",9,*,*,425,"2,167","$1,204",119,"3,874","$1,212",106,"9,593",13.2%,"$1,175","4,327","56,501",77.8%,$849,190,"2,580","$1,268",706,"11,396",$653,306,"8,468",$915,245,"1,138","$1,397",415,"1,841","$1,200",418,"6,926",$656,640,"7,572","$1,258",574,"9,537",$396
2,for_sale,490225.0,5.0,3.0,,Hampton,30228.0,3116.0,10/27/2022,False,Henry,1,93.10%,4.7,2,88.40%,53,74,12.0,204,81,450,747,13.2%,296.2,526,"3,761",619,"4,906",86.7%,"1,945.5","4,335","5,661",8.6,9.4,30.6%,"2,244.9",128,"6,025","72,639",$923,555,"6,198",8.5%,"$1,201",9,*,*,425,"2,167","$1,204",119,"3,874","$1,212",106,"9,593",13.2%,"$1,175","4,327","56,501",77.8%,$849,190,"2,580","$1,268",706,"11,396",$653,306,"8,468",$915,245,"1,138","$1,397",415,"1,841","$1,200",418,"6,926",$656,640,"7,572","$1,258",574,"9,537",$396
3,for_sale,481705.0,5.0,3.0,,Hampton,30228.0,3116.0,7/20/2022,False,Henry,1,93.10%,4.7,2,88.40%,53,74,12.0,204,81,450,747,13.2%,296.2,526,"3,761",619,"4,906",86.7%,"1,945.5","4,335","5,661",8.6,9.4,30.6%,"2,244.9",128,"6,025","72,639",$923,555,"6,198",8.5%,"$1,201",9,*,*,425,"2,167","$1,204",119,"3,874","$1,212",106,"9,593",13.2%,"$1,175","4,327","56,501",77.8%,$849,190,"2,580","$1,268",706,"11,396",$653,306,"8,468",$915,245,"1,138","$1,397",415,"1,841","$1,200",418,"6,926",$656,640,"7,572","$1,258",574,"9,537",$396
4,for_sale,145000.0,,,0.91,Lincolnton,30817.0,,,True,Lincoln,0,-,-,0,-,1,89,0.0,1,1,21,23,25.8%,290.1,9,47,10,66,74.2%,832.6,0,89,0.0,6.0,-,"1,122.7",75,198,"1,361",$726,40,363,26.7%,$943,11,105,"$1,042",23,196,$999,6,62,$602,16,405,29.8%,$686,122,584,42.9%,$615,6,43,"$1,000",25,172,$565,15,29,$923,5,52,"$1,133",11,27,$751,8,*,*,9,15,$746,15,123,$262
5,for_sale,55000.0,,,1.21,Blairsville,30512.0,,,True,Union,1,0.00%,-,1,61.80%,4,143,0.0,2,0,13,15,11.5%,55.0,18,90,6,114,87.7%,418.0,193,130,12.0,8.7,-32.6%,476.6,18,809,"7,618",$850,144,"1,020",13.4%,$948,8,183,"$1,101",101,366,$871,33,445,$942,32,"1,951",25.6%,$876,534,"4,610",60.5%,$809,27,181,"$1,219",107,"1,293",$574,22,326,"$1,030",38,114,"$1,199",52,231,"$1,383",32,124,$815,88,683,"$1,005",62,883,$393
6,for_sale,170000.0,,,2.95,Ellijay,30540.0,,,True,Gilmer,0,-,-,1,-,3,60,0.0,17,2,63,82,20.8%,248.7,51,217,41,309,78.2%,937.2,367,395,12.0,11.3,7.6%,"1,198.0",81,864,"7,319",$777,148,"1,737",23.7%,$883,10,47,$485,87,332,"$1,108",47,"1,274",$810,40,"1,299",17.7%,$828,554,"4,225",57.7%,$714,32,169,"$1,213",111,"1,375",$593,17,45,$805,27,129,"$1,056",62,196,$943,41,150,$688,70,480,$855,83,"1,032",$474
7,for_sale,140000.0,3.0,3.0,1.0,Clayton,30525.0,2216.0,4/15/2022,False,Rabun,1,0.00%,-,1,57.30%,2,118,0.0,3,0,14,17,10.3%,97.8,26,114,8,148,89.7%,851.2,228,165,4.3,3.8,-27.6%,948.9,60,658,"5,751",$743,133,961,16.7%,$858,8,105,$614,95,410,$929,29,428,$840,31,864,15.0%,$869,421,"3,886",67.6%,$685,9,118,$796,83,"1,139",$643,3,3,$660,20,106,"$1,127",45,146,$945,28,146,$683,55,573,$963,89,981,$474
8,for_sale,349900.0,4.0,3.0,0.18,Harlem,30814.0,2339.0,,False,Columbia,0,-,-,3,81.00%,30,35,1.0,20,4,121,146,11.3%,88.2,118,938,84,"1,140",88.1%,688.4,159,"1,294",12.0,7.0,713.8%,781.4,46,"3,714","38,176",$895,493,"6,180",16.2%,"$1,264",13,65,$834,394,"2,829","$1,091",83,"3,242","$1,422",124,"6,268",16.4%,"$1,024","2,537","25,527",66.9%,$771,98,514,"$1,207",372,"6,624",$795,71,338,$857,151,671,"$1,241",317,"1,358","$1,344",261,"2,964",$638,409,"4,367",$945,297,"5,102",$383
9,for_sale,280000.0,4.0,3.0,0.6,Hephzibah,30815.0,3497.0,6/10/2019,False,Richmond,3,34.70%,5.8,10,67.50%,77,120,44.0,108,159,878,"1,189",14.7%,574.1,866,"5,101",889,"6,856",84.9%,"3,310.5",11,"8,074",7.2,6.0,73300.0%,"3,898.6",145,"5,623","103,635","$1,059",535,"11,619",11.2%,"$1,237",7,35,"$1,000",370,"3,200","$1,079",155,"8,303","$1,297",154,"22,230",21.5%,"$1,350","4,339","69,585",67.1%,$935,202,"2,677","$1,365",822,"10,776",$644,120,"3,078",$970,224,"1,605","$1,672",558,"5,008","$1,583",356,"8,591",$655,720,"19,296","$1,215",541,"10,290",$413
