,status,price,bed,bath,acre_lot,city,zip_code,house_size,prev_sold_date,Special_property,County,2023 General Hospital Facilities,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 Nursing Home Facilities,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers,"2023 Reported Violent Crime, Murder","2023 Reported Violent Crime, Rape","2023 Reported Violent Crime, Robbery","2023 Reported Violent Crime, Aggravated Assault",2023 Total Violent Crimes Reported,"2023 Reported Violent Crimes, Percent","2023 Reported Violent Crime Rate per 100,000 Population","2023 Reported Property Crime, Burglary","2023 Reported Property Crime, Larceny","2023 Reported Property Crime, Motor Vehicle Theft",2023 Total Property Crimes Reported,"2023 Reported Property Crimes, Percent","2023 Reported Property Crime Rate per 100,000 Population",2021 Total Index Crimes Reported,2023 Total Index Crimes Reported,2022 Average Number of Months Reported,2023 Average Number of Months Reported,2021-2023 Percent Change in Total Crimes Reported,"2023 Total Index Crime Rate per 100,000 Population",2023 Rank of Rate,"2022 Average Number of Establishments, All Industries","2022 Average Number of Establishments, Goods Producing Industries","2022 Average Number of Establishments, Agriculture, Forestry, Fishing and Hunting","2022 Average Number of Establishments, Construction","2022 Average Number of Establishments, Manufacturing","2022 Average Number of Establishments, Government","2022 Average Number of Establishments, Service Providing Industries","2022 Average Number of Establishments, Wholesale Trade Industries","2022 Average Number of Establishments, Retail Trade Industries","2022 Average Number of Establishments, Transportation and Warehousing Industries","2022 Average Number of Establishments, Finance and Insurance Industries","2022 Average Number of Establishments, Professional, Scientific, and Technical Services","2022 Average Number of Establishments, Administrative, Support, Waste Management, and Remediation Industries","2022 Average Number of Establishments, Health Care and Social Assistance Industries","2022 Average Number of Establishments, Accommodation and Food Services Industries",2014 Unemployment Rate,2015 Unemployment Rate,2016 Unemployment Rate,2017 Unemployment Rate,2018 Unemployment Rate,2019 Unemployment Rate,2020 Unemployment Rate,2021 Unemployment Rate,2022 Unemployment Rate,2023 Unemployment Rate
0,for_sale,531625,5,4,,Hampton,30228,3661,,FALSE,Henry,1,93.10%,4.7,2,88.40%,53,12,204,81,450,747,13.20%,296.2,526,"3,761",619,"4,906",86.70%,"1,945.50","4,335","5,661",8.6,9.4,30.60%,"2,244.90",128,"6,025",555,9,425,119,106,"4,327",190,706,306,245,415,418,640,574,7.30%,6.30%,5.60%,4.90%,4.20%,3.70%,7.30%,4.20%,3.30%,3.50%
1,for_sale,525210,5,4,,Hampton,30228,3661,10/31/2022,FALSE,Henry,1,93.10%,4.7,2,88.40%,53,12,204,81,450,747,13.20%,296.2,526,"3,761",619,"4,906",86.70%,"1,945.50","4,335","5,661",8.6,9.4,30.60%,"2,244.90",128,"6,025",555,9,425,119,106,"4,327",190,706,306,245,415,418,640,574,7.30%,6.30%,5.60%,4.90%,4.20%,3.70%,7.30%,4.20%,3.30%,3.50%
2,for_sale,490225,5,3,,Hampton,30228,3116,10/27/2022,FALSE,Henry,1,93.10%,4.7,2,88.40%,53,12,204,81,450,747,13.20%,296.2,526,"3,761",619,"4,906",86.70%,"1,945.50","4,335","5,661",8.6,9.4,30.60%,"2,244.90",128,"6,025",555,9,425,119,106,"4,327",190,706,306,245,415,418,640,574,7.30%,6.30%,5.60%,4.90%,4.20%,3.70%,7.30%,4.20%,3.30%,3.50%
3,for_sale,481705,5,3,,Hampton,30228,3116,7/20/2022,FALSE,Henry,1,93.10%,4.7,2,88.40%,53,12,204,81,450,747,13.20%,296.2,526,"3,761",619,"4,906",86.70%,"1,945.50","4,335","5,661",8.6,9.4,30.60%,"2,244.90",128,"6,025",555,9,425,119,106,"4,327",190,706,306,245,415,418,640,574,7.30%,6.30%,5.60%,4.90%,4.20%,3.70%,7.30%,4.20%,3.30%,3.50%
4,for_sale,145000,,,0.91,Lincolnton,30817,,,TRUE,Lincoln,0,-,-,0,-,1,0,1,1,21,23,25.80%,290.1,9,47,10,66,74.20%,832.6,0,89,0,6,-,"1,122.70",75,198,40,11,23,6,16,122,6,25,15,5,11,8,9,15,8.30%,6.90%,6.00%,5.30%,5.00%,4.00%,5.40%,4.10%,3.60%,3.80%
5,for_sale,55000,,,1.21,Blairsville,30512,,,TRUE,Union,1,0.00%,-,1,61.80%,4,0,2,0,13,15,11.50%,55,18,90,6,114,87.70%,418,193,130,12,8.7,-32.60%,476.6,18,809,144,8,101,33,32,534,27,107,22,38,52,32,88,62,6.60%,5.40%,4.80%,4.50%,3.70%,3.20%,4.40%,2.80%,2.80%,2.80%
6,for_sale,170000,,,2.95,Ellijay,30540,,,TRUE,Gilmer,0,-,-,1,-,3,0,17,2,63,82,20.80%,248.7,51,217,41,309,78.20%,937.2,367,395,12,11.3,7.60%,"1,198.00",81,864,148,10,87,47,40,554,32,111,17,27,62,41,70,83,7.30%,6.10%,5.80%,5.10%,4.20%,3.60%,4.70%,3.10%,3.10%,3.10%
7,for_sale,140000,3,3,1,Clayton,30525,2216,4/15/2022,FALSE,Rabun,1,0.00%,-,1,57.30%,2,0,3,0,14,17,10.30%,97.8,26,114,8,148,89.70%,851.2,228,165,4.3,3.8,-27.60%,948.9,60,658,133,8,95,29,31,421,9,83,3,20,45,28,55,89,8.20%,6.80%,6.00%,5.00%,4.00%,3.60%,5.30%,3.20%,3.00%,3.00%
8,for_sale,349900,4,3,0.18,Harlem,30814,2339,,FALSE,Columbia,0,-,-,3,81.00%,30,1,20,4,121,146,11.30%,88.2,118,938,84,"1,140",88.10%,688.4,159,"1,294",12,7,713.80%,781.4,46,"3,714",493,13,394,83,124,"2,537",98,372,71,151,317,261,409,297,5.80%,5.10%,4.70%,4.20%,3.50%,3.20%,4.20%,2.80%,2.90%,3.00%
9,for_sale,280000,4,3,0.6,Hephzibah,30815,3497,6/10/2019,FALSE,Richmond,3,34.70%,5.8,10,67.50%,77,44,108,159,878,"1,189",14.70%,574.1,866,"5,101",889,"6,856",84.90%,"3,310.50",11,"8,074",7.2,6,73300.00%,"3,898.60",145,"5,623",535,7,370,155,154,"4,339",202,822,120,224,558,356,720,541,8.70%,7.50%,6.80%,6.00%,5.20%,4.70%,7.60%,5.30%,4.40%,4.60%
