County,2023 General Hospital Facilities,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 Nursing Home Facilities,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers
Appling,1,34.40%,10.2,1,100.20%,4
Atkinson,0,-,-,0,-,3
Bacon,1,21.40%,4.1,1,80.10%,4
Baker,0,-,-,0,-,1
Baldwin,1,27.50%,4.4,4,71.60%,14
Banks,0,-,-,0,-,2
Barrow,1,24.00%,3.9,1,62.30%,14
Bartow,1,74.60%,5,3,72.70%,13
Ben Hill,1,0.00%,-,2,76.30%,8
Berrien,1,14.90%,11.8,1,71.80%,5
Bibb,3,15.30%,4.7,10,67.40%,58
Bleckley,1,20.80%,11.9,1,92.20%,4
Brantley,0,-,-,1,89.20%,7
Brooks,1,19.70%,16.9,1,-,4
Bryan,0,-,-,1,79.00%,10
Bulloch,1,68.60%,4,4,59.00%,28
Burke,1,4.10%,2,2,92.30%,7
Butts,1,43.80%,14.1,1,92.40%,7
Calhoun,0,-,-,1,97.20%,1
Camden,1,34.20%,2.4,1,68.90%,12
Candler,1,26.90%,8.6,3,70.80%,3
Carroll,2,0.00%,-,4,89.60%,21
Catoosa,1,0.00%,-,3,87.70%,19
Charlton,0,-,-,1,81.10%,2
Chatham,3,66.40%,5.3,12,80.40%,147
Chattahoochee,0,-,-,0,-,0
Chattooga,0,-,-,1,80.60%,5
Cherokee,1,72.20%,5.5,3,74.30%,38
Clarke,2,63.40%,4.5,4,72.20%,23
Clay,0,-,-,1,69.10%,2
Clayton,1,23.30%,4.5,4,90.00%,97
Clinch,1,33.90%,15.6,1,78.50%,2
Cobb,3,79.60%,5.2,13,81.80%,203
Coffee,1,42.00%,3.4,1,53.20%,9
Colquitt,1,50.40%,4.3,4,88.10%,22
Columbia,0,-,-,3,81.00%,30
Cook,0,-,-,1,93.90%,7
Coweta,1,87.00%,4.7,3,56.70%,26
Crawford,0,-,-,1,64.00%,2
Crisp,1,43.40%,4.3,2,33.10%,4
Dade,0,-,-,1,93.50%,3
Dawson,0,-,-,0,-,6
Decatur,1,18.40%,4.1,2,59.80%,9
Dekalb,5,60.90%,6.9,16,78.00%,226
Dodge,1,23.10%,9,2,94.10%,5
Dooly,0,-,-,1,-,3
Dougherty,1,35.70%,5.5,2,67.80%,59
Douglas,1,84.90%,4.6,1,83.30%,38
Early,1,0.00%,-,1,66.90%,2
Echols,0,-,-,0,-,0
Effingham,1,10.60%,4.9,1,79.30%,25
Elbert,1,20.90%,8.1,3,87.00%,7
Emanuel,1,6.90%,3.2,3,62.00%,8
Evans,1,10.20%,3.7,1,54.90%,1
Fannin,1,0.00%,-,1,56.20%,4
Fayette,1,86.30%,4.6,2,76.00%,24
Floyd,2,83.40%,5.4,7,71.00%,20
Forsyth,1,73.70%,5.8,2,62.80%,51
Franklin,1,36.10%,4.1,1,73.80%,6
Fulton,9,75.80%,5.8,20,79.90%,442
Gilmer,0,-,-,1,-,3
Glascock,0,-,-,1,50.50%,1
Glynn,1,59.30%,5.4,4,60.70%,27
Gordon,1,75.30%,4.5,2,76.10%,7
Grady,1,18.10%,4.8,1,80.40%,9
Greene,1,25.00%,4.3,2,61.60%,2
Gwinnett,3,98.90%,6.2,11,88.80%,223
Habersham,1,18.80%,3.1,2,74.00%,8
Hall,1,95.40%,6.1,5,81.80%,43
Hancock,0,-,-,2,59.70%,0
Haralson,1,0.00%,-,3,82.50%,5
Harris,0,-,-,1,70.30%,4
Hart,0,-,-,2,62.30%,4
Heard,0,-,-,1,65.60%,1
Henry,1,93.10%,4.7,2,88.40%,53
Houston,2,58.40%,4.7,4,84.20%,36
Irwin,1,0.10%,5.5,2,77.00%,0
Jackson,0,-,-,2,67.50%,12
Jasper,1,20.80%,20.1,1,80.20%,2
Jeff Davis,1,17.90%,5.2,1,82.60%,5
Jefferson,1,14.20%,8.2,2,66.70%,10
Jenkins,1,24.00%,11.1,1,78.10%,2
Johnson,0,-,-,2,74.60%,3
Jones,0,-,-,2,85.20%,2
Lamar,0,-,-,1,64.70%,9
Lanier,1,22.50%,12,1,95.50%,4
Laurens,1,55.30%,4.4,3,58.30%,21
Lee,0,-,-,1,91.90%,8
Liberty,1,28.10%,3.6,1,42.90%,18
Lincoln,0,-,-,0,-,1
Long,0,-,-,1,77.00%,8
Lowndes,1,66.50%,4.6,4,78.00%,54
Lumpkin,1,16.20%,4.3,2,74.90%,8
Macon,1,47.10%,4.4,3,74.80%,1
Madison,0,-,-,1,57.80%,6
Marion,0,-,-,1,88.60%,2
Mcduffie,1,22.30%,4.5,1,67.40%,8
Mcintosh,0,-,-,0,-,4
Meriwether,1,36.20%,16.4,2,69.50%,5
Miller,1,50.80%,14.8,1,97.20%,3
Mitchell,1,37.10%,14.7,2,91.00%,7
Monroe,1,0.00%,-,3,60.50%,8
Montgomery,0,-,-,0,-,2
Morgan,1,59.60%,9.2,1,-,5
Murray,1,15.80%,3.2,1,-,3
Muscogee,3,41.80%,5.3,6,57.50%,53
Newton,1,65.50%,3.9,2,90.70%,21
Oconee,0,-,-,1,63.20%,18
Oglethorpe,0,-,-,1,-,1
Paulding,1,94.10%,3.9,1,75.30%,41
Peach,1,46.30%,4.5,2,93.20%,11
Pickens,1,75.70%,4.3,3,72.10%,3
Pierce,0,-,-,1,93.60%,7
Pike,0,-,-,0,-,3
Polk,1,40.80%,12,3,61.20%,8
Pulaski,1,0.00%,-,1,-,3
Putnam,1,0.00%,-,1,49.80%,6
Quitman,0,-,-,0,-,1
Rabun,1,0.00%,-,1,57.30%,2
Randolph,0,-,-,1,90.50%,2
Richmond,3,34.70%,5.8,10,67.50%,77
Rockdale,1,73.70%,4.4,2,82.60%,26
Schley,0,-,-,0,-,1
Screven,1,12.20%,9.3,1,-,8
Seminole,1,35.00%,6.4,1,72.80%,4
Spalding,1,62.10%,4.9,3,82.30%,14
Stephens,1,16.00%,4.5,1,54.60%,6
