County,2023 General Hospital Facilities,2023 General Hospital Bed Capacity,2023 General Hospital Total Inpatient Days,2023 General Hospital Total Admissions,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 General Hospital Total Emergency Department Visits,2023 General Hospital Emergency Department Inpatient Admissions,"2023 General Hospital Total Admissions from Emergency Department, Percent",2023 Nursing Home Facilities,2023 Nursing Home Bed Capacity,2023 Nursing Home Total Days,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers,2023 Child Care Learning Center Capacity,2023 Family Child Care Learning Homes,"2022 Uninsured Under Age 65, All Income Levels, Percent","2022 Uninsured Under Age 65, At or Below 200% Poverty, Percent","2022 Uninsured Under Age 19, All Income Levels, Percent","2022 Uninsured Under Age 19, At or Below 200% Poverty, Percent"
APPLING,1,64,"8,047",788,34.4%,10.2,"7,433",704,89.3%,1,79,"28,881",100.2%,4,341,0,18.7%,22.7%,7.3%,6.8%
ATKINSON,0,0,0,0,-,-,0,0,-,0,0,0,-,3,174,0,20.7%,24.5%,7.3%,7.0%
BACON,1,47,"3,671",902,21.4%,4.1,"10,238",921,102.1%,1,88,"25,743",80.1%,4,353,0,17.2%,20.6%,7.5%,7.3%
BAKER,0,0,0,0,-,-,0,0,-,0,0,0,-,1,75,0,11.1%,13.8%,4.3%,4.9%
BALDWIN,1,140,"14,056","3,224",27.5%,4.4,"28,762","2,303",71.4%,4,213,"55,701",71.6%,14,"1,121",2,15.3%,19.2%,7.6%,8.1%
BANKS,0,0,0,0,-,-,0,0,-,0,0,0,-,2,201,0,17.6%,25.6%,8.6%,9.6%
BARROW,1,56,"4,900","1,248",24.0%,3.9,"24,422","1,159",92.9%,1,163,"37,055",62.3%,14,"1,605",2,15.6%,25.5%,7.6%,9.6%
BARTOW,1,139,"37,834","7,496",74.6%,5.0,"49,104","6,633",88.5%,3,316,"83,796",72.7%,13,"1,605",5,15.5%,24.6%,7.1%,8.8%
BEN HILL,1,75,0,0,0.0%,-,0,0,-,2,200,"55,728",76.3%,8,475,2,15.0%,18.3%,6.2%,6.4%
BERRIEN,1,63,"3,420",291,14.9%,11.8,"10,500",232,79.7%,1,108,"28,290",71.8%,5,422,2,15.1%,18.6%,6.3%,6.2%
BIBB,3,"1,050","58,560","12,584",15.3%,4.7,"81,808","8,912",70.8%,10,967,"238,012",67.4%,58,"5,505",24,16.0%,20.0%,7.1%,6.9%
BLECKLEY,1,64,"4,860",408,20.8%,11.9,"6,784",57,14.0%,1,75,"25,239",92.2%,4,288,4,12.3%,18.5%,5.7%,7.3%
BRANTLEY,0,0,0,0,-,-,0,0,-,1,63,"20,512",89.2%,7,513,0,17.9%,21.2%,8.4%,8.0%
BROOKS,1,45,"3,239",192,19.7%,16.9,"9,188",20,10.4%,1,0,0,-,4,212,0,15.1%,18.3%,6.6%,6.8%
BRYAN,0,0,0,0,-,-,0,0,-,1,100,"28,838",79.0%,10,"1,375",1,11.4%,23.2%,6.4%,12.4%
BULLOCH,1,150,"37,551","9,305",68.6%,4.0,"51,237","7,467",80.2%,4,314,"67,585",59.0%,28,"1,893",8,14.4%,20.4%,7.1%,9.4%
BURKE,1,38,564,278,4.1%,2.0,"9,695",78,28.1%,2,64,"21,554",92.3%,7,554,8,11.8%,15.7%,5.8%,6.2%
BUTTS,1,28,"4,476",317,43.8%,14.1,"17,645",42,13.2%,1,196,"66,115",92.4%,7,689,1,13.6%,19.0%,6.7%,7.2%
CALHOUN,0,0,0,0,-,-,0,0,-,1,60,"21,292",97.2%,1,96,1,15.4%,18.5%,6.4%,6.8%
CAMDEN,1,40,"4,988","2,066",34.2%,2.4,"28,751",987,47.8%,1,78,"19,623",68.9%,12,"1,003",3,12.4%,20.2%,6.3%,8.9%
CANDLER,1,60,"5,888",686,26.9%,8.6,"6,365",713,103.9%,3,297,"76,760",70.8%,3,142,5,20.2%,23.1%,9.7%,9.7%
CARROLL,2,326,0,0,0.0%,-,0,0,-,4,363,"118,657",89.6%,21,"2,738",5,13.8%,20.5%,6.0%,7.0%
CATOOSA,1,179,0,0,0.0%,-,0,0,-,3,255,"81,617",87.7%,19,"2,413",0,12.2%,20.0%,6.0%,7.7%
CHARLTON,0,0,0,0,-,-,0,0,-,1,92,"27,226",81.1%,2,119,1,16.3%,20.1%,7.3%,7.1%
CHATHAM,3,"1,177","285,163","53,713",66.4%,5.3,"227,858","38,550",71.8%,12,885,"259,856",80.4%,147,"13,025",98,14.1%,22.2%,6.9%,9.0%
CHATTAHOOCHEE,0,0,0,0,-,-,0,0,-,0,0,0,-,0,0,0,8.0%,12.2%,4.8%,7.6%
CHATTOOGA,0,0,0,0,-,-,0,0,-,1,151,"44,424",80.6%,5,404,1,16.7%,19.7%,6.8%,6.2%
CHEROKEE,1,332,"87,513","16,034",72.2%,5.5,"54,963","11,722",73.1%,3,271,"73,513",74.3%,38,"5,128",17,12.5%,29.2%,6.1%,11.8%
CLARKE,2,623,"144,179","32,021",63.4%,4.5,"124,659","23,220",72.5%,4,446,"117,527",72.2%,23,"2,572",13,14.6%,21.4%,6.4%,9.3%
CLAY,0,0,0,0,-,-,0,0,-,1,60,"15,135",69.1%,2,50,0,14.3%,18.5%,6.2%,7.0%
CLAYTON,1,361,"30,712","6,780",23.3%,4.5,"41,110","4,910",72.4%,4,523,"171,743",90.0%,97,"9,706",72,15.5%,19.2%,5.1%,5.5%
CLINCH,1,25,"3,091",198,33.9%,15.6,"4,324",7,3.5%,1,92,"26,370",78.5%,2,137,0,18.5%,21.8%,9.0%,8.2%
COBB,3,"1,103","320,495","61,688",79.6%,5.2,"225,239","42,508",68.9%,13,"1,204","359,299",81.8%,203,"25,285",72,12.5%,26.5%,5.5%,9.8%
COFFEE,1,88,"13,504","3,924",42.0%,3.4,"27,826","2,648",67.5%,1,168,"32,612",53.2%,9,809,1,19.1%,22.5%,7.4%,7.0%
COLQUITT,1,155,"28,512","6,566",50.4%,4.3,"37,280","6,310",96.1%,4,287,"92,242",88.1%,22,"2,274",1,19.8%,23.8%,8.4%,8.6%
COLUMBIA,0,0,0,0,-,-,0,0,-,3,214,"63,305",81.0%,30,"3,602",19,10.3%,23.6%,5.5%,10.2%
COOK,0,0,0,0,-,-,0,0,-,1,95,"32,567",93.9%,7,325,10,17.4%,21.2%,7.2%,7.3%
COWETA,1,169,"53,665","11,488",87.0%,4.7,"66,892","9,457",82.3%,3,260,"53,837",56.7%,26,"4,086",5,11.0%,22.3%,5.8%,9.5%
CRAWFORD,0,0,0,0,-,-,0,0,-,1,100,"23,368",64.0%,2,142,0,16.2%,21.9%,7.8%,9.1%
CRISP,1,73,"11,551","2,680",43.4%,4.3,"20,237","2,959",110.4%,2,120,"14,508",33.1%,4,407,10,14.2%,16.9%,6.3%,6.2%
DADE,0,0,0,0,-,-,0,0,-,1,31,"10,582",93.5%,3,266,1,14.2%,20.5%,7.6%,9.0%
DAWSON,0,0,0,0,-,-,0,0,-,0,0,0,-,6,391,2,14.0%,24.7%,7.3%,9.1%
DECATUR,1,80,"5,372","1,313",18.4%,4.1,"17,380",493,37.5%,2,207,"45,150",59.8%,9,634,5,14.0%,17.3%,6.5%,7.0%
DEKALB,5,"1,752","389,427","56,453",60.9%,6.9,"258,395","34,612",61.3%,16,"1,818","517,448",78.0%,226,"26,766",117,13.7%,23.2%,7.0%,9.8%
DODGE,1,94,"7,914",881,23.1%,9.0,"7,893",966,109.6%,2,100,"34,330",94.1%,5,542,1,13.9%,16.7%,5.6%,6.0%
DOOLY,0,0,0,0,-,-,0,0,-,1,0,0,-,3,122,0,15.2%,19.3%,6.4%,6.7%
DOUGHERTY,1,691,"89,961","16,288",35.7%,5.5,"59,141","11,598",71.2%,2,436,"107,833",67.8%,59,"4,288",11,15.8%,18.0%,6.3%,6.0%
DOUGLAS,1,108,"33,451","7,293",84.9%,4.6,"62,052","6,470",88.7%,1,246,"74,817",83.3%,38,"4,840",11,14.1%,21.8%,6.0%,7.2%
EARLY,1,49,0,0,0.0%,-,0,0,-,1,117,"28,579",66.9%,2,162,7,14.2%,16.7%,6.3%,6.2%
ECHOLS,0,0,0,0,-,-,0,0,-,0,0,0,-,0,0,0,19.1%,23.0%,7.6%,8.5%
EFFINGHAM,1,45,"1,736",357,10.6%,4.9,"21,082",231,64.7%,1,105,"30,392",79.3%,25,"2,835",5,10.6%,20.2%,5.2%,8.3%
ELBERT,1,52,"3,958",487,20.9%,8.1,"8,367",481,98.8%,3,187,"59,396",87.0%,7,310,8,18.5%,22.1%,8.0%,7.3%
EMANUEL,1,72,"1,803",562,6.9%,3.2,"14,151","1,279",227.6%,3,263,"59,499",62.0%,8,662,6,16.5%,19.3%,7.2%,7.0%
EVANS,1,49,"1,829",496,10.2%,3.7,"9,886",496,100.0%,1,87,"17,430",54.9%,1,117,2,17.8%,21.5%,8.2%,8.3%
FANNIN,1,50,0,0,0.0%,-,0,0,-,1,101,"20,723",56.2%,4,462,0,17.8%,25.4%,8.9%,10.6%
FAYETTE,1,282,"88,792","19,209",86.3%,4.6,"89,921","17,043",88.7%,2,317,"87,945",76.0%,24,"3,200",11,9.8%,26.2%,4.7%,10.5%
FLOYD,2,505,"153,670","28,268",83.4%,5.4,"88,712","20,974",74.2%,7,697,"180,584",71.0%,20,"1,920",5,15.7%,22.0%,6.2%,6.4%
FORSYTH,1,389,"104,616","17,998",73.7%,5.8,"54,421","12,353",68.6%,2,225,"51,542",62.8%,51,"9,615",2,8.3%,27.8%,3.8%,11.4%
FRANKLIN,1,56,"7,371","1,783",36.1%,4.1,"23,447","1,325",74.3%,1,100,"26,952",73.8%,6,683,2,17.4%,22.6%,7.9%,8.3%
FULTON,9,"3,671","1,015,196","174,014",75.8%,5.8,"635,016","104,781",60.2%,20,"2,437","710,389",79.9%,442,"59,792",92,10.7%,20.2%,4.4%,6.3%
GILMER,0,0,0,0,-,-,0,0,-,1,0,0,-,3,383,0,17.4%,24.8%,7.4%,7.9%
GLASCOCK,0,0,0,0,-,-,0,0,-,1,104,"19,167",50.5%,1,21,1,11.6%,17.3%,5.6%,7.3%
GLYNN,1,300,"64,904","12,112",59.3%,5.4,"48,002","9,199",75.9%,4,485,"107,459",60.7%,27,"3,285",11,16.3%,24.6%,7.9%,9.4%
